t,phi
2.879999999999982574e+00,-2.198099689957583092e+00
2.889999999999982361e+00,-2.201424573966893394e+00
2.899999999999982148e+00,-2.204738439746746437e+00
2.909999999999981934e+00,-2.208041360081943960e+00
2.919999999999981721e+00,-2.211333407038451604e+00
2.929999999999981508e+00,-2.214614651972835802e+00
2.939999999999981295e+00,-2.217885165541543024e+00
2.949999999999981082e+00,-2.221145017710028924e+00
2.959999999999980869e+00,-2.224394277761740035e+00
2.969999999999980655e+00,-2.227633014306948045e+00
2.979999999999980442e+00,-2.230861295291443724e+00
2.989999999999980229e+00,-2.234079188005088756e+00
2.999999999999980016e+00,-2.237286759090232113e+00
3.009999999999979803e+00,-2.240484074549991877e+00
3.019999999999979590e+00,-2.243671199756403833e+00
3.029999999999979376e+00,-2.246848199458440831e+00
3.039999999999979163e+00,-2.250015137789906472e+00
3.049999999999978950e+00,-2.253172078277202672e+00
3.059999999999978737e+00,-2.256319083846976881e+00
3.069999999999978524e+00,-2.259456216833646724e+00
3.079999999999978311e+00,-2.262583538986808751e+00
3.089999999999978098e+00,-2.265701111478532148e+00
3.099999999999977884e+00,-2.268808994910537002e+00
3.109999999999977671e+00,-2.271907249321264199e+00
3.119999999999977458e+00,-2.274995934192833413e+00
3.129999999999977245e+00,-2.278075108457895404e+00
3.139999999999977032e+00,-2.281144830506379506e+00
3.149999999999976819e+00,-2.284205158192136764e+00
3.159999999999976605e+00,-2.287256148839481806e+00
3.169999999999976392e+00,-2.290297859249636581e+00
3.179999999999976179e+00,-2.293330345707075058e+00
3.189999999999975966e+00,-2.296353663985772453e+00
3.199999999999975753e+00,-2.299367869355359417e+00
3.209999999999975540e+00,-2.302373016587186516e+00
3.219999999999975326e+00,-2.305369159960294123e+00
3.229999999999975113e+00,-2.308356353267295269e+00
3.239999999999974900e+00,-2.311334649820171450e+00
3.249999999999974687e+00,-2.314304102455980505e+00
3.259999999999974474e+00,-2.317264763542481454e+00
3.269999999999974261e+00,-2.320216684983675837e+00
3.279999999999974047e+00,-2.323159918225267795e+00
3.289999999999973834e+00,-2.326094514260042878e+00
3.299999999999973621e+00,-2.329020523633169582e+00
3.309999999999973408e+00,-2.331937996447423167e+00
3.319999999999973195e+00,-2.334846982368333101e+00
3.329999999999972982e+00,-2.337747530629256332e+00
3.339999999999972768e+00,-2.340639690036376397e+00
3.349999999999972555e+00,-2.343523508973631930e+00
3.359999999999972342e+00,-2.346399035407571887e+00
3.369999999999972129e+00,-2.349266316892144602e+00
3.379999999999971916e+00,-2.352125400573414904e+00
3.389999999999971703e+00,-2.354976333194215954e+00
3.399999999999971489e+00,-2.357819161098734906e+00
3.409999999999971276e+00,-2.360653930237032405e+00
3.419999999999971063e+00,-2.363480686169500355e+00
3.429999999999970850e+00,-2.366299474071253961e+00
3.439999999999970637e+00,-2.369110338736464261e+00
3.449999999999970424e+00,-2.371913324582629379e+00
3.459999999999970210e+00,-2.374708475654786266e+00
3.469999999999969997e+00,-2.377495835629662047e+00
3.479999999999969784e+00,-2.380275447819771184e+00
3.489999999999969571e+00,-2.383047355177452253e+00
3.499999999999969358e+00,-2.385811600298850088e+00
3.509999999999969145e+00,-2.388568225427845082e+00
3.519999999999968932e+00,-2.391317272459925203e+00
3.529999999999968718e+00,-2.394058782946006492e+00
3.539999999999968505e+00,-2.396792798096202937e+00
3.549999999999968292e+00,-2.399519358783541279e+00
3.559999999999968079e+00,-2.402238505547629188e+00
3.569999999999967866e+00,-2.404950278598270597e+00
3.579999999999967653e+00,-2.407654717819033952e+00
3.589999999999967439e+00,-2.410351862770772069e+00
3.599999999999967226e+00,-2.413041752695093578e+00
3.609999999999967013e+00,-2.415724426517789958e+00
3.619999999999966800e+00,-2.418399922852214168e+00
3.629999999999966587e+00,-2.421068280002616202e+00
3.639999999999966374e+00,-2.423729535967433346e+00
3.649999999999966160e+00,-2.426383728442536469e+00
3.659999999999965947e+00,-2.429030894824434572e+00
3.669999999999965734e+00,-2.431671072213435814e+00
3.679999999999965521e+00,-2.434304297416767238e+00
3.689999999999965308e+00,-2.436930606951654088e+00
3.699999999999965095e+00,-2.439550037048358266e+00
3.709999999999964881e+00,-2.442162623653176823e+00
3.719999999999964668e+00,-2.444768402431401810e+00
3.729999999999964455e+00,-2.447367408770242392e+00
3.739999999999964242e+00,-2.449959677781707867e+00
3.749999999999964029e+00,-2.452545244305452954e+00
3.759999999999963816e+00,-2.455124142911588869e+00
3.769999999999963602e+00,-2.457696407903455338e+00
3.779999999999963389e+00,-2.460262073320359733e+00
3.789999999999963176e+00,-2.462821172940278469e+00
3.799999999999962963e+00,-2.465373740282525983e+00
3.809999999999962750e+00,-2.467919808610388621e+00
3.819999999999962537e+00,-2.470459410933726563e+00
3.829999999999962323e+00,-2.472992580011540209e+00
3.839999999999962110e+00,-2.475519348354506377e+00
3.849999999999961897e+00,-2.478039748227482075e+00
3.859999999999961684e+00,-2.480553811651976304e+00
3.869999999999961471e+00,-2.483061570408590768e+00
3.879999999999961258e+00,-2.485563056039430396e+00
3.889999999999961044e+00,-2.488058299850484545e+00
3.899999999999960831e+00,-2.490547332913977119e+00
3.909999999999960618e+00,-2.493030186070688270e+00
3.919999999999960405e+00,-2.495506889932247230e+00
3.929999999999960192e+00,-2.497977474883397164e+00
